Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG11721	yidZ	putative transcriptional regulator LysR-type	characterized	unknown	1.91040918927E-06	0.56	0.775	0.367	0.326	N	N	u	putative DNA-binding transcriptional regulator	Putative regulator; Not classified	Nitric oxide resistance, LysR-family transcriptional regulator	Unclear/under-characterized 	N/A
EG11725	yieH	6-phosphogluconate phosphatase	characterized	unknown	0.00000637	0.97	0.622	0.349	0.343	N	N	N	phosphoenolpyruvate and 6-phosphogluconate phosphatase	Enzyme; Not classified	Phosphoenolpyruvate and 6-phosphogluconate phosphatase; weak phosphoramidase; physiological role unknown; HAD3	Unclear/under-characterized 	N/A
EG11730	viaA	stimulator of RavA ATPase activity	characterized	characterized	5.40459303145E-06	1.00	0.783	0.338	0.327	N	u	N	stimulator of RavA ATPase activity; von Willebrand factor domain protein	Null	Stimulator of RavA ATPase activity, VWA domain protein	Unclear/under-characterized 	N/A
EG11731	ravA	regulatory ATPase	characterized	characterized	5.40124908631E-06	0.88	0.767	0.278	0.309	N	u	N	hexameric AAA+ MoxR family ATPase, putative molecular chaperone	Putative regulator; Not classified	Hexameric AAA+ MoxR family ATPase, function unknown; possible molecular chaperone; ATPase stimulated by binding to CadA and ViaA	Unclear/under-characterized 	N/A
EG11732	hsrA	inner membrane protein HsrA	characterized	characterized	2.04663678623E-06	0.56	0.8	0.303	0.228	N	u	N	putative multidrug or homocysteine efflux system	Putative transport; Not classified	Putative transporter, blocks RspA-mediated RpoS down-regulation; membrane protein	Unclear/under-characterized 	N/A
EG11742	yddA	fused predicted multidrug transporter subunits of ABC superfamily membrane component	unknown	unknown	4.66158208352E-06	0.81	0.785	0.42	0.621	N	N	N	putative multidrug ABC transporter permease/ATPase	Putative transport; Not classified	Putative ABC transporter permease/ATPase	Unclear/under-characterized 	N/A
EG11757	tsaE	protein involved in threonylcarbamoyladenosine biosynthesis	characterized	characterized	0.000008034	0.97	N.A.	N.A.	N.A.	E	E	u	tRNA(ANN) t(6)A37 threonylcarbamoyladenosine modification protein; ADP binding protein	Enzyme; tRNA modification	tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; ADP binding protein	Unclear/under-characterized 	threonylcarbamoyladenosine biosynthetic process
EG11790	wcaI	predicted colanic biosynthesis glycosyl transferase	unknown	unknown	2.93212717109E-07	0.16	0.768	0.333	0.29	N	N	N	putative glycosyl transferase	Putative enzyme; Not classified	Putative colanic acid biosynthesis glycosyl transferase	Unclear/under-characterized 	N/A
EG11808	yebG	conserved protein regulated by LexA	unknown	unknown	3.08217422118E-05	1.00	0.727	0.35	0.402	E	u	N	DNA damage-inducible protein regulated by LexA	Null	DNA damage-inducible gene, SOS regulon; requires H-NS and cAMP for induction	Unclear/under-characterized 	N/A
EG11811	aidB	AidB	characterized	characterized	1.49861784015E-06	0.41	0.795	0.338	0.204	N	N	u	DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase	Enzyme; DNA repair	DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase	Unclear/under-characterized 	N/A
EG11831	rdoA	serine/threonine protein kinase	characterized	characterized	1.21771970572E-05	0.97	0.793	0.413	0.562	N	u	u	Cpx stress response Thr/Ser protein kinase; MazF antagonist protein	Null	Stress response kinase A, MazF antagonist; Thr/Ser kinase involved in Cpx stress response; lethality reduction protein	Unclear/under-characterized 	N/A
EG11835	yihI	GAP-like protein that activates GTPase activity of Der	characterized	unknown	2.33549424511E-05	1.00	0.72	0.245	0.252	N	u	N	activator of Der GTPase	Null	Activator of Der GTPase; GAP (GTPase Activating Protein)-like protein; Der-YhiI complex	Unclear/under-characterized 	positive regulation of GTPase activity
EG11837	typA	protein possibly involved in ribosome structure or function	characterized	characterized	0.0002055716	1.00	0.686	0.223	0.111	N	u	u	GTP-binding protein	Putative factor; Not classified	GTPase, regulatory, ribosome-associated	Unclear/under-characterized 	N/A
EG11843	yihQ	&alpha;-glucosidase	characterized	unknown	1.1968311862E-07	0.06	0.807	0.344	0.461	N	u	N	putative sulpholipid alpha-glucosidase; alpha-glucosyl fluoride glucosidase	Enzyme; Not classified	Putative sulpholipid alpha-glucosidase; alpha-glucosyl fluoride glucosidase	Unclear/under-characterized 	N/A
EG11844	yihR	predicted aldose-1-epimerase	unknown	unknown	0.000000242	0.13	0.826	0.209	0.263	N	u	u	putative sulphoquinovose mutarotase	Enzyme; Not classified	Putative sulphoquinovose mutarotase	Unclear/under-characterized 	N/A
EG11861	frvR	FrvR predicted transcriptional regulator	unknown	unknown	1.7437177971E-07	0.03	0.854	0.377	0.562	X	N	u	putative frv operon regulator; contains a PTS EIIA domain	Putative regulator; Not classified	Putative frv operon regulator; contains a PTS EIIA domain	Unclear/under-characterized 	N/A
EG11900	lar	restriction alleviation and modification enhancement	characterized	characterized	0.00000038	0.13	0.775	0.18	0.243	X	N	N	Rac prophage; restriction alleviation protein	Enzyme; Phage or Prophage Related	DNase toxin of RalRA type I toxin-antitoxin pair; Rac prophage; putative restriction alleviation gene	Unclear/under-characterized 	N/A
EG11906	ptsA	fused predicted PTS enzymes HPr component / enzyme I component / enzyme IIA component	unknown	unknown	1.09854983217E-07	0.06	0.744	0.403	0.465	N	N	u	putative PTS enzyme: Hpr, enzyme I and II components	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	Predicted multiphosphoryl transfer protein: PTS HPr, EIIA and EI; MTP-Frw; multi-domain fructose-like PTS protein with enzyme I, type-2 EIIA, and HPr-like domains	Unclear/under-characterized 	N/A
EG11908	frwC	FrwC	characterized	characterized	4.74459413888E-08	0.00	0.675	0.37	0.417	N	N	u	putative enzyme IIC component of PTS	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Predicted fructose-like PTS system enzyme IIC	Unclear/under-characterized 	N/A
EG11909	frwB	FrwB	characterized	characterized	1.20569414994E-07	0.06	0.651	0.42	0.526	N	N	u	putative enzyme IIB component of PTS	Enzyme; Degradation of small molecules: Carbon compounds	Predicted fructose-like PTS system enzyme IIB, component 1	Unclear/under-characterized 	N/A
EG11912	frwD	PTS system fructose-like IIB component 2	characterized	characterized	4.01730188743E-07	0.09	0.672	0.307	0.403	N	N	u	putative enzyme IIB component of PTS	Enzyme; Degradation of small molecules: Carbon compounds	Predicted fructose-like PTS system enzyme IIB, component 2	Unclear/under-characterized 	N/A
EG11923	yjbE	predicted protein	unknown	unknown	1.55927753956E-06	0.41	0.691	0.361	0.431	N	u	u	extracellular polysaccharide production threonine-rich protein	Null	Threonine-rich protein; required to make novel extracellular polysaccharide	Unclear/under-characterized 	N/A
EG11924	yjbF	predicted lipoprotein	unknown	unknown	0.000000142	0.06	0.803	0.404	0.524	X	u	u	extracellular polysaccharide production lipoprotein	Null	Lipoprotein required to make novel extracellular polysaccharide	Unclear/under-characterized 	N/A
EG11925	yjbG	conserved protein	unknown	unknown	1.16918760334E-07	0.03	0.687	0.336	0.438	X	u	u	extracellular polysaccharide export OMA protein	Null	Extracellular polysaccharide export OMA protein	Unclear/under-characterized 	N/A
EG11926	yjbH	predicted porin	unknown	unknown	3.902371197E-07	0.13	0.766	0.284	0.165	N	u	N	DUF940 family extracellular polysaccharide protein	Null	DUF940 family protein; required to make novel extracellular polysaccharide	Unclear/under-characterized 	N/A
EG11964	yibL	conserved protein	unknown	unknown	2.17318023821E-05	1.00	0.626	0.313	0.242	X	u	N	ribosome-associated DUF2810 family protein	Null	Ribosome-associated DUF2810 family protein, function unknown	Unclear/under-characterized 	N/A
EG12002	yehP	conserved protein	unknown	unknown	1.6110072662E-07	0.09	0.719	0.169	0.163	N	N	u	VMA domain putative YehL ATPase stimulator	Null	VWA domain protein, predicted stimulator of YehL ATPase; required for swarming phenotype	Unclear/under-characterized 	N/A
EG12048	yejK	DNA-associated protein	characterized	unknown	1.69864051366E-05	1.00	0.737	0.282	0.458	N	u	N	spermidine nucleoid-associated protein	Null	Spermidine nucleoid-associated protein, function unknown	Unclear/under-characterized 	N/A
EG12073	apbE	predicted thiamine biosynthesis lipoprotein	unknown	unknown	1.15053501183E-06	0.38	0.626	0.304	0.362	N	N	u	putative thiamine-synthetic flavin transferase lipoprotein	Null	Putative flavin transferase, lipoprotein	Unclear/under-characterized 	N/A
EG12106	hofB	protein involved in plasmid replication	characterized	characterized	1.19740945167E-06	0.22	0.721	0.378	0.613	N	u	u	T2SE secretion family protein; P-loop ATPase superfamily protein	Putative transport; Not classified	T2SE family predicted protein secretion protein; predicted P-loop ATPase, function unknown	Unclear/under-characterized 	N/A
EG12111	nlpD	NlpD putative outer membrane lipoprotein	characterized	characterized	0.000056278	1.00	0.796	0.358	0.314	N	N	N	activator of AmiC murein hydrolase activity, lipoprotein	Enzyme; Murein sacculus, peptidoglycan; membrane; Macromolecule synthesis, modification: Lipoprotein	Activator of AmiC murein hydrolase activity, lipoprotein	Unclear/under-characterized 	N/A
EG12113	hofQ	protein involved in utilization of DNA as a carbon source	characterized	characterized	4.32468195835E-07	0.16	0.873	0.306	0.315	N	u	N	DNA catabolic putative fimbrial transporter	Putative transport; Not classified	Required for the utilization of DNA as a carbon source; H. influenzae competence protein ComE homolog	Unclear/under-characterized 	pilus assembly
EG12117	ompX	outer membrane protein X	characterized	characterized	0.0002390709	1.00	0.771	0.443	0.465	N	N	u	outer membrane protein X	Membrane; Outer membrane constituents	Outer membrane protein X; role in inducing RNAP-sigma E production	Unclear/under-characterized 	N/A
EG12137	nlpE	outer membrane lipoprotein NlpE	characterized	characterized	7.30511246333E-06	0.97	0.801	0.293	0.346	N	N	N	lipoprotein involved with copper homeostasis and adhesion	Putative transport; Detoxification	Lipoprotein activating Cpx in response to adhesion; copper resistance; outer membrane protein	Unclear/under-characterized 	regulation of cell-substrate adhesion
EG12173	gspM	putative protein secretion protein	characterized	characterized	1.15919189093E-06	0.41	0.827	0.25	0.233	X	u	N	general secretory pathway component, cryptic	Putative transport; Not classified	Part of H-NS-silenced gsp-alpha (T2SS-alpha) divergon, type II protein secretion; cloned gsp-alpha (T2SS-alpha) divergon secretes ChiA, requires gspAB operon	Unclear/under-characterized 	extracellular transport
EG12177	cutA	copper binding protein CutA	characterized	characterized	1.74257054172E-05	1.00	0.806	0.329	0.385	N	N	u	divalent-cation tolerance protein, copper sensitivity	Phenotype; Adaptations, atypical conditions	Copper sensitivity, binds Cu(II); possible role in cytochrome c maturation; trimeric	Unclear/under-characterized 	protein homooligomerization
EG12188	ptsP	phosphoenolpyruvate-protein phosphotransferase PtsP	characterized	characterized	5.01535623379E-05	1.00	0.578	0.509	0.725	N	N	u	PEP-protein phosphotransferase enzyme I; GAF domain containing protein	Enzyme; Transport of small molecules: Other	PTS PEP-protein phosphotransferase Enzyme I (Ntr)	Unclear/under-characterized 	N/A
EG12194	cbpM	chaperone modulator protein CbpM	characterized	characterized	8.70383582107E-06	0.97	0.776	0.204	0.206	E	N	N	modulator of CbpA co-chaperone	Null	Modulator of CbpA co-chaperone activity	Unclear/under-characterized 	N/A
EG12211	panZ	maturation factor for PanD	characterized	characterized	4.62579173079E-06	0.69	N/A	N/A	N/A	N/A	N/A	N/A	PanD autocleavage accelerator, panothenate synthesis	Factor; Biosynthesis of cofactors, carriers: Pantothenate	PanD autocleavage accelerator, panothenate auxotrophy	Unclear/under-characterized 	zymogen activation
EG12231	uspB	predicted universal stress (ethanol tolerance) protein B	unknown	unknown	5.86423603254E-06	0.84	0.703	0.347	0.431	N	N	u	universal stress (ethanol tolerance) protein B	Null	Universal stress protein B, confers ethanol resistance in stationary phase; sigma S-regulated gene divergent from uspA	Unclear/under-characterized 	response to ethanol
EG12234	rlmJ	23S rRNA m<sup>6</sup>A2030 methyltransferase	characterized	characterized	0.000008785	0.94	0.807	0.382	0.436	N	N	N	23S rRNA m(6)A2030 methyltransferase, SAM-dependent	Enzyme; rRNA modification	23S rRNA m(6)A2030 methyltransferase, SAM-dependent	Unclear/under-characterized 	N/A
EG12248	yhjD	inner membrane protein associated with lipopolysaccharide transport	characterized	unknown	5.77494264029E-06	0.84	0.831	0.359	0.52	X	N	u	inner membrane putative BrbK family alternate lipid exporter	Null	Probable BrkB family lipid IVA exporter; suppressor of msbA and KDO essentiality; LPS transport inner membrane protein	Unclear/under-characterized 	lipopolysaccharide transport
EG12252	yhjH	c-di-GMP phosphodiesterase	characterized	unknown	8.07900760858E-05	1.00	0.775	0.298	0.318	N	N	u	cyclic-di-GMP phosphodiesterase, FlhDC-regulated	Null	Cyclic-di-GMP phosphodiesterase, FlhDC-regulated; impaired swimming; suppresses motility defect of hns mutants in multicopy	Unclear/under-characterized 	N/A
EG12257	bcsC	oxidase involved in cellulose synthesis	characterized	characterized	1.260544931E-06	0.28	0.725	0.337	0.491	N	N	u	cellulose synthase subunit	Putative enzyme; Not classified	Oxidase involved in cellulose production, contains TPR repeats	Unclear/under-characterized 	cellulose biosynthetic process
EG12259	bcsB	cellulose biosynthesis protein	characterized	characterized	6.03596211909E-07	0.16	N.A.	N.A.	N.A.	N	N	u	regulator of cellulose synthase, cyclic di-GMP binding	Null	Cellulose synthase, regulatory subunit; binds cyclic-di-GMP; periplasmic, membrane-anchored	Unclear/under-characterized 	UDP-glucose metabolic process
EG12260	bcsA	cellulose synthase	characterized	characterized	5.42261406952E-07	0.22	0.813	0.271	0.26	N	N	N	cellulose synthase, catalytic subunit	Putative enzyme; Not classified	Celullose synthase, catalytic subunit; inner membrane protein	Unclear/under-characterized 	UDP-glucose metabolic process
EG12268	yhjX	YhjX MFS transporter	characterized	unknown	5.67744946596E-07	0.31	0.719	0.306	0.542	N	N	u	pyruvate-inducible inner membrane protein, putative transporter	Putative transport; Drug/analog sensitivity	Putative MFS antiporter, pyruvate-inducible; inner membrane protein	Unclear/under-characterized 	N/A
EG12286	sgbU	predicted L-xylulose 5-phosphate 3-epimerase	unknown	unknown	3.66358658315E-07	0.28	0.803	0.26	0.383	N	N	u	putative L-xylulose 5-phosphate 3-epimerase	Putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Predicted L-xylulose 5-phosphate 3-epimerase; required for the aerobic utilization of L-ascorbate but not for fermentation; L-xylulose catabolism	Unclear/under-characterized 	L-lyxose metabolic process
EG12297	envC	EnvC murein hydrolase	characterized	characterized	1.90677822142E-05	1.00	0.666	0.161	0.156	N	u	N	activator of AmiB,C murein hydrolases, septal ring factor	Enzyme; Murein sacculus, peptidoglycan	Activator of AmiB,C murein hydrolases, septal ring factor	Unclear/under-characterized 	cytokinetic cell separation
EG12337	yaeI	phosphodiesterase	characterized	unknown	1.55538301747E-06	0.47	0.795	0.209	0.249	N	u	u	phosphodiesterase with model substrate bis-pNPP	Null	Phosphodiesterase, function unknown; has activity on model substrate bis-pNPP	Unclear/under-characterized 	N/A
EG12340	afuC	CP4-6 prophage; predicted ferric transporter subunit/ATP-binding component of ABC superfamily	unknown	unknown	4.82818034932E-07	0.28	0.717	0.418	0.442	N	N	N	CP4-6 prophage; putative ferric transporter subunit	Putative transport; Not classified; Phage or Prophage Related	Predicted ferric iron ABC transporter ATPase; orphan gene in a cryptic defective ABC transporter operon; CP4-6 prophage remnant	Unclear/under-characterized 	ferric iron transport
EG12361	kduD	predicted 2-deoxy-D-gluconate 3-dehydrogenase	unknown	unknown	9.10816578613E-07	0.34	0.667	0.196	0.196	X	N	N	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; KDG oxidoreductase; 20-ketosteroid reductase	Enzyme; Degradation of small molecules: Carbon compounds	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase; KDG oxidoreductase; DKII reductase; 20-ketosteroid reductase	Unclear/under-characterized 	N/A
EG12371	nlpI	lipoprotein involved in cell division	characterized	characterized	0.0002544082	1.00	0.561	0.372	0.406	N	N	u	lipoprotein involved in osmotic sensitivity and filamentation	Putative regulator; Not classified	Lipoprotein involved in osmotic sensitivity and filamentation	Unclear/under-characterized 	N/A
EG12376	yfeH	putative cytochrome oxidase	characterized	unknown	5.99691814975E-06	0.81	0.515	0.211	0.41	N	u	u	putative inorganic ion transporter	Putative enzyme; Not classified	Predicted inorganic ion transporter; required for swarming phenotype; regulated by YfeR	Unclear/under-characterized 	N/A
EG12402	chaB	predicted cation transport regulator	unknown	unknown	2.72327960469E-06	0.66	0.79	0.258	0.264	X	N	N	cation transport regulator	Regulator; Transport of small molecules: Cations	Accessory and regulatory protein for chaA	Unclear/under-characterized 	N/A
EG12403	chaC	predicted cation transport protein	unknown	unknown	5.23138838445E-06	0.94	0.94	0.314	0.364	N	N	u	cation transport regulator	Transport; Transport of small molecules: Cations	Accessory and regulatory protein for chaA	Unclear/under-characterized 	N/A
EG12409	aegA	putative oxidoreductase	characterized	characterized	3.16494714359E-07	0.13	0.763	0.4	0.429	N	N	N	putative oxidoreductase, FeS binding subunit/NAD/FAD-binding subunit	Putative enzyme; Not classified	Predicted oxidoreductase, Fe-S subunit; induced by anaerobiosis, repressed by NO3; ygfT paralog	Unclear/under-characterized 	glutamate biosynthetic process
EG12429	tomB	protein that modulates Hha toxicity	characterized	characterized	1.44302960482E-05	1.00	0.814	0.218	0.137	N	u	u	Hha toxicity attenuator; conjugation-related protein	Null	Attenuates Hha toxicity, possibly by blocking activation of prophage lytic genes; promotes conjugation and conjugation-induced biofilms; deceases motility in presence of a conjugative plasmid (R1drd19)	Unclear/under-characterized 	N/A
EG12454	ybaK	Cys-tRNA<sup>Pro</sup> and Cys-tRNA<sup>Cys</sup> deacylase	characterized	unknown	7.08860071627E-06	0.94	0.664	0.33	0.455	N	N	u	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	Null	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase, tRNA editing	Unclear/under-characterized 	regulation of translational fidelity
EG12769	agaB	AgaB	characterized	characterized	0.000000134	0.06	0.712	0.215	0.247	?	u	N	N-acetylgalactosamine-specific enzyme IIB component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	Putative PTS system N-acetylgalactosamine-specific enzyme IIB component 	Unclear/under-characterized 	N/A
EG12770	agaC	AgaC	characterized	characterized	0.000000151	0.06	0.731	0.315	0.393	N	u	u	N-acetylgalactosamine-specific enzyme IIC component of PTS	Enzyme; Central intermediary metabolism: Amino sugars	Enzyme IIC Nag, PTS system; N-acetylgalactosamine-specific enzyme IIC; EIIC-Nag	Unclear/under-characterized 	N/A
EG12794	yhbY	predicted RNA-binding protein	unknown	unknown	0.0001937202	1.00	0.698	0.364	0.361	N	u	u	RNA binding protein associated with pre-50S ribosomal subunits	Null	UPF0044 family RNA binding protein; associated with pre-50S ribosomal subunits; functions in ribosome assembly	Unclear/under-characterized 	N/A
EG12799	mlaD	MlaD	characterized	characterized	1.87090637698E-05	1.00	0.728	0.35	0.445	N	u	u	OM lipid asymmetry maintenance protein; membrane-anchored ABC family periplasmic binding protein	Transport; Transport of small molecules: phospholipids	Putative phospholipid-binding protein, signal-anchored; periplasmic; MlaFEDB phospholipid ABC transporter; maintains OM lipid asymmetry	Unclear/under-characterized 	phospholipid transport
EG12800	mlaE	MlaE	characterized	characterized	0.000017225	1.00	0.645	0.312	0.382	N	u	N	ABC transporter maintaining OM lipid asymmetry, inner membrane permease protein	Transport; Transport of small molecules: phospholipids	Probable phospholipid ABC transporter permease; MlaFEDB phospholipid ABC transporter; maintains OM lipid asymmetry	Unclear/under-characterized 	phospholipid transport
EG12801	mlaF	MlaF	characterized	characterized	2.94152661899E-05	1.00	0.74	0.36	0.524	N	u	u	ABC transporter maintaining OM lipid asymmetry, ATP-binding protein	Transport; Transport of small molecules: phospholipids	Probable ABC phospholipid transporter ATP-binding protein; MlaFEDB phospholipid ABC transporter; maintains OM lipid asymmetry	Unclear/under-characterized 	phospholipid transport
EG12845	cas2	predicted endoribonuclease	unknown	unknown	2.4515783953E-06	0.50	0.502	0.324	0.28	N	u	N	CRISPR adaptation ssRNA endonuclease	Null	Predicted ssRNA endonuclease Cas2, CRISPR adaptation protein	Unclear/under-characterized 	maintenance of CRISPR repeat elements
EG12850	yfaL	adhesin	characterized	unknown	1.42854248996E-06	0.41	0.814	0.327	0.366	N	N	N	adhesin	Putative transport; Not classified	Probable OM autotransporter adhesin; overexpression increases adhesion and biofilm formation	Unclear/under-characterized 	N/A
EG12859	mdoD	glucan biosynthesis protein D	characterized	characterized	1.14428024746E-05	0.94	0.787	0.371	0.421	N	N	u	OPG biosynthetic periplasmic protein	Putative structure; Not classified	OPG biosynthetic periplasmic protein	Unclear/under-characterized 	regulation of beta-glucan biosynthetic process
EG12875	ybhC	outer membrane lipoprotein	characterized	unknown	1.81015929845E-05	1.00	0.834	0.264	0.232	N	N	N	acyl-CoA thioesterase, lipoprotein	Putative enzyme	Acyl-CoA thioesterase, verified lipoprotein; physiological role unknown	Unclear/under-characterized 	cell wall modification
EG12880	yfiN	predicted diguanylate cyclase	unknown	unknown	3.40571917017E-06	0.72	0.831	0.248	0.266	N	u	u	putative membrane-anchored diguanylate cyclase	Null	Predicted membrane-anchored diguanylate cyclase	Unclear/under-characterized 	negative regulation of flagellar cell motility
EG12903	yheS	fused predicted transporter subunits of ABC superfamily ATP-binding components	unknown	unknown	1.33723309585E-05	1.00	0.823	0.319	0.213	N	N	u	ABC-F family protein predicted regulatory ATPase	Putative transport; Not classified	ABC-F family putative regulatory ATPase, function unknown	Unclear/under-characterized 	N/A
EG12933	feoC	predicted DNA-binding transcriptional regulator	unknown	unknown	6.96765134028E-06	0.91	0.794	0.254	0.28	?	N	u	putative DNA-binding transcriptional regulator	Null	Putative Fe-S-sensing transcriptional regulator for feoABC; required for full FeoB activity	Unclear/under-characterized 	N/A
EG13283	emrY	EmrKY putative multidrug efflux transporter - membrane subunit	characterized	characterized	1.0730571059E-07	0.00	0.742	0.378	0.34	X	N	N	putative multidrug efflux system	Putative transport; Drug/analog sensitivity	EmrKY-TolC multidrug resistance efflux pump; overexpression resistance to deoxycholate	Unclear/under-characterized 	N/A
EG50004	rmf	ribosome modulation factor	characterized	characterized	0.0006570926	1.00	0.78	0.342	0.381	?	N	N	ribosome modulation factor	Factor; Ribosomes - maturation and modification	Ribosome Modulation Factor RMF; binds 70S ribosome dimers to form 100S; occurs in stationary phase	Unclear/under-characterized 	negative regulation of translation in response to stress
G0-10435	ylcG	DLP12 prophage; small protein	characterized	unknown	0.000000222	0.06	0.72	0.245	0.279	-	u	u	uncharacterized protein, DLP12 prophage	Phage or Prophage Related	Expressed protein, function unknown, DLP12 prophage	Unclear/under-characterized 	N/A
G0-10583	ykfM	hypothetical protein	unknown	unknown	5.6510962602E-08	0.03	N/A	N/A	N/A	N/A	N/A	N/A	lethality reduction protein, putative inner membrane protein	Null	Lethality reduction protein, predicted membrane protein	Unclear/under-characterized 	N/A
G0-10617	sgrT	SgrT	characterized	characterized	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	inhibitor of glucose uptake	Null	Inhibitor of glucose uptake	Unclear/under-characterized 	negative regulation of glucose import
G0-10629	ibsE	toxic peptide IbsE	characterized	characterized	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	toxic membrane protein	Null	Toxic membrane protein, in SIBe repeat	Unclear/under-characterized 	N/A
G0-10630	ibsD	predicted toxic peptide IbsD	unknown	unknown	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	toxic membrane protein	Null	Toxic membrane protein, in SIBd repeat	Unclear/under-characterized 	N/A
G0-10631	ibsC	toxic peptide IbsC	characterized	characterized	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	toxic membrane protein	Null	Toxic membrane protein, in SIBc repeat	Unclear/under-characterized 	N/A
G0-10632	ibsB	predicted toxic peptide IbsB	unknown	unknown	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	toxic membrane protein	Null	Toxic membrane protein, in SIBb repeat	Unclear/under-characterized 	N/A
G0-10633	ibsA	toxic peptide IbsA	characterized	characterized	0	0.00	N/A	N/A	N/A	N/A	N/A	N/A	toxic membrane protein	Null	Toxic membrane protein, in SIBa repeat	Unclear/under-characterized 	N/A
G0-9662	gnsA	predicted regulator of phosphatidylethanolamine synthesis	unknown	unknown	0.000053899	1.00	0.772	0.329	0.392	-	u	u	putative phosphatidylethanolamine synthesis regulator	Null	Multicopy suppressor of null secG(Cs) and fabA6(Ts); overexpression increases unsaturated fatty acid content of phospholipids; gnsB paralog	Unclear/under-characterized 	N/A
G6098	yaeQ	conserved protein	unknown	unknown	0.000008827	0.97	0.782	0.435	0.58	N	u	u	PDDEXK superfamily protein	Putative enzyme; Not classified	PDDEXK superfamily protein, function unknown	Unclear/under-characterized 	N/A
G6108	yafK	conserved protein	unknown	unknown	5.44258074928E-05	1.00	0.788	0.404	0.583	N	N	N	L,D-transpeptidase-related protein	Null	L,D-transpeptidase-related protein, function unknown	Unclear/under-characterized 	N/A
G6118	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain	unknown	unknown	1.19386072577E-06	0.34	0.762	0.299	0.32	N	N	u	GNAT family putative N-acetyltransferase	Null	GNAT family putative N-acetyltransferase; antimutator activity towards 4-nitroquinoline-1-oxide; lexA regulon	Unclear/under-characterized 	N/A
G6121	yafW	antitoxin of the YkfI-YafW toxin-antitoxin pair	characterized	unknown	1.14056297125E-06	0.25	0.639	0.229	0.261	N	N	N	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	Phage or Prophage Related	Antitoxin component of toxin-antitoxin protein pair YkfI-YafW; CP4-6 putative prophage remnant	Unclear/under-characterized 	N/A
G6154	paoD	conserved protein	unknown	unknown	3.45870123851E-07	0.09	0.566	0.235	0.246	N	N	u	moco insertion factor for PaoABC aldehyde oxidoreductase	Null	Moco insertion factor for PaoABC aldehyde oxidoreductase	Unclear/under-characterized 	N/A
G6155	paoC	aldehyde dehydrogenase molybdenum cofactor-binding subunit	characterized	characterized	5.23137614522E-07	0.25	0.772	0.295	0.306	N	N	N	PaoABC aldehyde oxidoreductase, Moco-containing subunit	Enzyme; Not classified	PaoABC aldehyde oxidoreductase, Moco-containing subunit; periplasmic	Unclear/under-characterized 	purine ribonucleoside salvage
G6163	ecpB	<i>E. coli</i> common pilus chaperone - cryptic	characterized	characterized	3.37645463407E-07	0.09	0.721	0.373	0.42	N	N	N	ECP production pilus chaperone	Factor; Surface structures	Periplasmic pilus chaperone required for ECP formation	Unclear/under-characterized 	N/A
G6164	ecpA	<i>E. coli</i> common pilus - major subunit; cryptic	characterized	characterized	0.000002819	0.59	0.828	0.362	0.604	N	N	u	ECP pilin	Structural component; Surface structures	ECP pilin	Unclear/under-characterized 	N/A
G6236	yajO	putative NAD(P)H-dependent xylose reductase	characterized	unknown	1.35728875345E-05	1.00	0.66	0.289	0.303	N	N	u	2-carboxybenzaldehyde reductase	Null	2-carboxybenzaldehyde reductase	Unclear/under-characterized 	N/A
G6259	ybaQ	predicted DNA-binding transcriptional regulator	unknown	unknown	4.2445920664E-05	1.00	0.772	0.236	0.227	E	N	u	putative DNA-binding transcriptional regulator	Null	Predicted transcriptional regulator, function unknown	Unclear/under-characterized 	N/A
G6265	qmcA	predicted protease	unknown	unknown	5.36272950127E-06	0.84	0.677	0.281	0.282	N	N	u	PHB domain membrane-anchored putative protease	Putative enzyme; Not classified	Multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain	Unclear/under-characterized 	N/A
G6291	sfmC	predicted pilin chaperone	unknown	unknown	6.77881835211E-08	0.06	0.766	0.365	0.436	N	u	u	putative periplasmic pilus chaperone	Putative factor; Surface structures	Predicted periplasmic pilus chaperone	Unclear/under-characterized 	N/A
